"Date","Price","Open","High","Low","Change %"
"May 23, 2016","3.510","3.690","3.690","3.600","-0.28%"
"May 20, 2016","3.520","3.690","3.690","3.600","1.44%"
"May 19, 2016","3.470","3.610","3.620","3.599","0.58%"
"May 18, 2016","3.450","3.620","3.620","3.600","-0.29%"
"May 17, 2016","3.460","3.649","3.649","3.598","-2.51%"
"May 16, 2016","3.549","3.650","3.650","3.630","-0.03%"
"May 13, 2016","3.550","3.640","3.650","3.640","0.00%"
"May 12, 2016","3.550","3.650","3.650","3.640","1.43%"
"May 11, 2016","3.500","3.650","3.650","3.650","0.40%"
"May 10, 2016","3.486","3.605","3.605","3.605","-0.97%"
"May 09, 2016","3.520","3.690","3.690","3.690","-0.28%"
"May 06, 2016","3.530","3.700","3.700","3.690","0.00%"
"May 05, 2016","3.530","3.609","3.700","3.608","0.60%"
"May 04, 2016","3.509","3.710","3.710","3.609","-0.88%"
"May 03, 2016","3.540","3.740","3.740","3.720","-0.84%"
"Apr 29, 2016","3.570","3.740","3.740","3.740","0.00%"
"Apr 28, 2016","3.570","3.740","3.740","3.740","0.85%"
"Apr 27, 2016","3.540","3.680","3.710","3.680","1.14%"
"Apr 26, 2016","3.500","3.680","3.690","3.680","-1.38%"
"Apr 25, 2016","3.549","3.640","3.660","3.640","1.69%"
"Apr 22, 2016","3.490","3.600","3.660","3.600","1.16%"
"Apr 21, 2016","3.450","3.590","3.600","3.590","0.29%"
"Apr 20, 2016","3.440","3.580","3.600","3.550","1.18%"
"Apr 19, 2016","3.400","3.540","3.580","3.540","0.59%"
"Apr 18, 2016","3.380","3.500","3.550","3.490","-2.03%"
"Apr 15, 2016","3.450","3.480","3.550","3.480","4.23%"
"Apr 14, 2016","3.310","3.410","3.480","3.410","2.16%"
"Apr 13, 2016","3.240","3.410","3.420","3.400","0.00%"
"Apr 12, 2016","3.240","3.410","3.420","3.410","0.00%"
"Apr 11, 2016","3.240","3.410","3.420","3.399","0.00%"
"Apr 08, 2016","3.240","3.388","3.430","3.360","-1.82%"
"Apr 07, 2016","3.300","3.378","3.401","3.360","-0.84%"
"Apr 06, 2016","3.328","3.363","3.401","3.360","1.16%"
"Apr 05, 2016","3.290","3.363","3.400","3.360","-0.69%"
"Apr 04, 2016","3.313","3.338","3.400","3.338","-0.75%"
"Apr 02, 2016","3.338","3.400","3.400","3.338","1.52%"
"Apr 01, 2016","3.288","3.338","3.400","3.338","0.00%"
"Mar 31, 2016","3.288","3.348","3.411","3.338","-0.30%"
"Mar 30, 2016","3.298","3.420","3.450","3.348","-0.66%"
"Mar 29, 2016","3.320","3.408","3.450","3.350","-0.90%"
"Mar 28, 2016","3.350","3.450","3.450","3.350","-2.90%"
"Mar 26, 2016","3.450","3.450","3.450","3.400","3.05%"
"Mar 25, 2016","3.348","3.450","3.450","3.408","0.00%"
"Mar 24, 2016","3.348","3.410","3.410","3.400","1.52%"
"Mar 23, 2016","3.298","3.358","3.358","3.320","-0.15%"
"Mar 22, 2016","3.303","3.364","3.364","3.350","1.04%"
"Mar 21, 2016","3.269","3.329","3.329","3.329","0.31%"
"Mar 18, 2016","3.259","3.319","3.348","3.319","0.15%"
"Mar 17, 2016","3.254","3.370","3.370","3.314","-0.91%"
"Mar 16, 2016","3.284","3.344","3.400","3.344","1.05%"
"Mar 15, 2016","3.250","3.329","3.390","3.329","0.03%"
"Mar 14, 2016","3.249","3.309","3.309","3.300","-3.27%"
"Mar 12, 2016","3.359","3.400","3.400","3.359","2.44%"
"Mar 11, 2016","3.279","3.420","3.420","3.359","0.28%"
"Mar 10, 2016","3.270","3.319","3.400","3.319","-1.18%"
"Mar 09, 2016","3.309","3.401","3.401","3.389","0.27%"
"Mar 08, 2016","3.300","3.401","3.430","3.379","-0.27%"
"Mar 07, 2016","3.309","3.389","3.418","3.389","-3.50%"
"Mar 05, 2016","3.429","3.400","3.429","3.400","1.48%"
"Mar 04, 2016","3.379","3.439","3.510","3.439","-0.59%"
"Mar 03, 2016","3.399","3.459","3.490","3.459","0.00%"
"Mar 02, 2016","3.399","3.480","3.490","3.480","2.41%"
"Mar 01, 2016","3.319","3.400","3.400","3.400","0.58%"
"Feb 29, 2016","3.300","3.450","3.450","3.400","-2.94%"
"Feb 27, 2016","3.400","3.441","3.441","3.400","1.49%"
"Feb 26, 2016","3.350","3.440","3.450","3.400","-0.59%"
"Feb 25, 2016","3.370","3.430","3.430","3.410","2.12%"
"Feb 24, 2016","3.300","3.401","3.410","3.370","-0.30%"
"Feb 23, 2016","3.310","3.390","3.440","3.390","-1.19%"
"Feb 22, 2016","3.350","3.430","3.449","3.430","-1.33%"
"Feb 20, 2016","3.395","3.360","3.431","3.360","1.80%"
"Feb 19, 2016","3.335","3.395","3.410","3.395","0.45%"
"Feb 18, 2016","3.320","3.411","3.411","3.350","2.15%"
"Feb 17, 2016","3.250","3.341","3.341","3.330","0.62%"
"Feb 16, 2016","3.230","3.325","3.330","3.325","-0.31%"
"Feb 15, 2016","3.240","3.400","3.400","3.330","-2.70%"
"Feb 14, 2016","3.330","3.330","3.330","3.330","0.00%"
"Feb 13, 2016","3.330","3.330","3.360","3.330","2.46%"
"Feb 12, 2016","3.250","3.330","3.350","3.300","-1.22%"
"Feb 11, 2016","3.290","3.391","3.405","3.390","0.46%"
"Feb 10, 2016","3.275","3.381","3.400","3.365","0.77%"
"Feb 09, 2016","3.250","3.401","3.401","3.340","2.52%"
"Feb 08, 2016","3.170","3.271","3.300","3.265","-3.88%"
"Feb 06, 2016","3.298","3.298","3.301","3.270","3.06%"
"Feb 05, 2016","3.200","3.291","3.310","3.270","0.06%"
"Feb 04, 2016","3.198","3.300","3.330","3.295","-0.06%"
"Feb 03, 2016","3.200","3.280","3.300","3.280","-1.51%"
"Feb 02, 2016","3.249","3.320","3.349","3.320","-1.99%"
"Feb 01, 2016","3.315","3.416","3.460","3.395","-7.01%"
"Jan 30, 2016","3.565","3.590","3.590","3.565","2.30%"
"Jan 29, 2016","3.485","3.565","3.565","3.510","-0.29%"
"Jan 28, 2016","3.495","3.550","3.575","3.550","0.00%"
"Jan 27, 2016","3.495","3.580","3.640","3.575","-0.29%"
"Jan 26, 2016","3.505","3.620","3.620","3.550","1.59%"
"Jan 25, 2016","3.450","3.541","3.560","3.530","-1.71%"
"Jan 22, 2016","3.510","3.590","3.590","3.560","0.00%"
"Jan 21, 2016","3.510","3.590","3.590","3.560","0.00%"
"Jan 20, 2016","3.510","3.590","3.601","3.560","-2.50%"
"Jan 19, 2016","3.600","3.641","3.650","3.620","1.41%"
"Jan 18, 2016","3.550","3.671","3.671","3.650","-1.39%"
"Jan 16, 2016","3.600","3.601","3.601","3.600","1.69%"
"Jan 15, 2016","3.540","3.600","3.640","3.600","-0.28%"
"Jan 14, 2016","3.550","3.650","3.650","3.650","0.28%"
"Jan 13, 2016","3.540","3.640","3.640","3.640","0.54%"
"Jan 12, 2016","3.521","3.621","3.621","3.621","-0.56%"
"Jan 11, 2016","3.541","3.641","3.641","3.641","-5.95%"
"Jan 10, 2016","3.765","3.765","3.765","3.765","0.00%"
"Jan 09, 2016","3.765","3.700","3.765","3.700","2.17%"
"Jan 08, 2016","3.685","3.765","3.765","3.710","0.00%"
"Jan 07, 2016","3.685","3.765","3.765","3.765","0.14%"
"Jan 06, 2016","3.680","3.811","3.811","3.765","-1.60%"
"Jan 05, 2016","3.740","3.841","3.841","3.840","1.49%"
"Jan 04, 2016","3.685","3.765","3.780","3.765","-2.12%"
"Jan 02, 2016","3.765","3.780","3.780","3.765","0.00%"
"Jan 01, 2016","3.765","3.765","3.780","3.765","2.17%"
"Dec 31, 2015","3.685","3.765","3.765","3.765","0.00%"
"Dec 30, 2015","3.685","3.765","3.765","3.765","0.00%"
"Dec 29, 2015","3.685","3.790","3.790","3.765","0.00%"
"Dec 28, 2015","3.685","3.765","3.800","3.765","-2.12%"
"Dec 26, 2015","3.765","3.840","3.840","3.765","0.00%"
"Dec 25, 2015","3.765","3.810","3.840","3.765","2.17%"
"Dec 24, 2015","3.685","3.765","3.830","3.765","0.41%"
"Dec 23, 2015","3.670","3.810","3.839","3.770","0.00%"
"Dec 22, 2015","3.670","3.771","3.840","3.770","0.27%"
"Dec 21, 2015","3.660","3.840","3.840","3.840","-4.69%"
"Dec 19, 2015","3.840","3.830","3.840","3.830","4.63%"
"Dec 18, 2015","3.670","3.801","3.830","3.801","-1.08%"
"Dec 17, 2015","3.710","3.830","3.830","3.810","0.54%"
"Dec 16, 2015","3.690","3.861","3.861","3.790","-2.12%"
"Dec 15, 2015","3.770","3.950","3.950","3.870","2.72%"
"Dec 14, 2015","3.670","3.841","3.841","3.830","-5.41%"
"Dec 12, 2015","3.880","3.750","3.880","3.750","6.89%"
"Dec 11, 2015","3.630","3.820","3.820","3.820","0.83%"
"Dec 10, 2015","3.600","3.760","3.760","3.760","0.56%"
"Dec 09, 2015","3.580","3.750","3.760","3.700","-2.45%"
"Dec 08, 2015","3.670","3.750","3.760","3.750","0.25%"
"Dec 07, 2015","3.661","3.690","3.761","3.690","-2.11%"
"Dec 05, 2015","3.740","3.681","3.740","3.681","4.47%"
"Dec 04, 2015","3.580","3.681","3.681","3.680","1.99%"
"Dec 03, 2015","3.510","3.600","3.611","3.600","2.03%"
"Dec 02, 2015","3.440","3.600","3.640","3.600","-4.18%"
"Nov 28, 2015","3.590","3.590","3.590","3.590","4.06%"
"Nov 27, 2015","3.450","3.600","3.600","3.600","0.88%"
"Nov 26, 2015","3.420","3.600","3.600","3.581","-0.58%"
"Nov 25, 2015","3.440","3.580","3.600","3.580","-1.15%"
"Nov 24, 2015","3.480","3.581","3.620","3.581","0.00%"
